run,condition,card,first_cam_frame,last_cam_frame,travel_px,step_per_refresh_px,holds,pct_hold_1_refresh,pct_hold_2plus_refresh,max_hold_cam_frames
1,both,A,184,338,463.3,6.43,50,54.0,46.0,6
1,both,B,184,338,448.1,6.22,48,54.2,45.8,12
2,B-alone,B,456,606,444.3,6.17,69,97.1,2.9,6
3,B-alone,B,708,858,463.4,6.44,71,98.6,1.4,6
4,B-alone,B,937,1089,448.6,6.23,70,97.1,2.9,6
5,B-alone,B,1174,1324,462.0,6.42,70,98.6,1.4,6
6,A-alone,A,1384,1538,463.3,6.43,49,51.0,49.0,6
7,A-alone,A,1614,1766,462.6,6.43,51,58.8,41.2,6
8,A-alone,A,1846,2000,465.1,6.46,55,67.3,32.7,6
9,A-alone,A,2090,2242,466.1,6.47,51,58.8,41.2,6
